Author1,Author2,Weight
"Gamez-Diaz, Antonio","Ruiz-Cortés, Antonio",1
"García, J.M.","Peluaga Lozada, I.",1
"Gerdes, Martin W.","Khatiwada, Pankaj",1
"Gerdes, Martin W.","Prinz, Andreas",1
"Godefroid, Patrice","Polishchuk, Marina",1
"Grigaliūnas, Šarūnas","Kukta, Donatas",1
"Grigaliūnas, Šarūnas","Venčkauskas, Algimantas",1
"Guo, Minglei","Liu, Xin",1
"Guo, Minglei","Xiao, Zhenghang",1
"Guo, Minglei","Zhuge, Jianwei",1
"Guo, Yuejun","Li, Wanpeng",1
"H., Dai, Hepeng","K., Cai, Kaiyuan",1
"H., Dai, Hepeng","T.Y., Chen, Tsong Yueh",1
"H., Guo, Hao","J., Li, Jingwei",1
"H., Guo, Hao","X., Chen, Xuan",1
"H., Guo, Hao","X., He, Xiaoyu",1
"H., Guo, Hao","Y., Huang, Yanyu",1
"H., Guo, Hao","Z., Liu, Zheli",1
"H., Li, Hang","J., Li, Junhao",1
"H., Li, Hang","M., Yin, Mingyong",1
"H., Li, Hang","Y., Wang, Yulong",1
"H., Liu, Huai","J.X., Zheng, James Xi",1
"H., Liu, Huai","R., Li, Rui",1
"H., Liu, Huai","X., Liu, Xiao",1
"H., Liu, Huai","L., Pan, Lin",1
"H., Liu, Huai","Q., Wang, Qiaoling",1
"H., Liu, Huai","X., Zhang, Xiangyu",1
"H., Marques, Henrique","J.R., Bernardino, Jorge Rodrigues",1
"H., Marques, Henrique","N., Laranjeiro, Nuno",1
"H., Moraliyage, Harsha","N., Thennakoon, Nipun",1
"H., Moraliyage, Harsha","S., Hettiarachchi, Saman",1
"H., Moraliyage, Harsha","S., Malalgoda, Sanjeewa",1
"H., Moraliyage, Harsha","T., Madusanka, Tiroshan",1
"H., Moraliyage, Harsha","T.D., Jayawickrama, Thamindu D.",1
"H., Wang, Huanhuan","R., Huang, Rubing",1
"Habib, Beenish","Khursheed, Farida",1
"Harwahyu, Ruki","Putera, Danar Gumilang",1
"Hussain, Syed Rafiul","K S, Sathiyajith",1
"Hussain, Syed Rafiul","Yang, Tianchang",1
"I., Medina-Bulo, Inmaculada","J.J., Domínguez-Jiménez, Juan José",1
"I., Yilmaz, Ibrahim","M.D., Rogers, Mike D.",1
"I., Yilmaz, Ibrahim","V., Kholodilo, Vadim",1
"J., Alves-Foss, Jim","R., Alshamrani, Rayan",1
"J., Cappos, Justin","L.A., DeLong, Lois Anne",1
"J., Cappos, Justin","M.S., Rahman, Muhammad Sajidur",1
"J., Cappos, Justin","R., Akefirad, Rad",1
"J., Cappos, Justin","R., Bobhate, Rahul",1
"J., Cappos, Justin","T., Lin, Tian",1
"J., Cappos, Justin","Y., Brun, Yuriy",1
"J., Chen, Jinfu","R., Huang, Rubing",1
"J., Cruz-Cozar, Juan","L.M., Parrilla, L. M.",1
"J., Li, Jingwei","X., Chen, Xuan",1
"J., Li, Jingwei","X., He, Xiaoyu",1
"J., Li, Jingwei","Y., Huang, Yanyu",1
"J., Li, Jingwei","Z., Liu, Zheli",1
"J., Li, Junhao","M., Yin, Mingyong",1
"J., Li, Junhao","Y., Wang, Yulong",1
"J., Offutt, Jeff","P., Reales Mateo, Pedro",1
"J., Offutt, Jeff","P.R., Mateo, Pedro Reales",1
"J., Reyes, Jorge","M., MacAs, Mayra",1
"J., Reyes, Jorge","P., Arévalo, Paco",1
"J., Reyes, Jorge","W., Fuertes, Walter",1
"J., Sue, Jarod","S., Salva, Sébastien",1
"J.C., Paiva, José Carlos","R.A.P., Queirós, Ricardo Alexandre Peixoto",1
"J.C., Paiva, José Carlos","T., Espinha Gasiba, Tiago",1
"J.R., Bernardino, Jorge Rodrigues","N., Laranjeiro, Nuno",1
"J.X., Zheng, James Xi","R., Li, Rui",1
"J.X., Zheng, James Xi","X., Liu, Xiao",1
"Jeong, J.P.","Kim, J.J.",1
"Jeong, J.P.","Lingga, P.",1
"Jeong, J.P.","Park, J.",1
"Ji, Dandan","Li, Yuekang",1
"Ji, Dandan","Liu, Yang",1
"Ji, Dandan","Liu, Yi",1
"Ji, Dandan","Wan, Ruiyuan",1
"Ji, Dandan","Wu, Runchao",1
"Ji, Dandan","Xu, Shiheng",1
"Jiang, Shuyu","Shao, Jiang",1
"Jiang, Shuyu","Shen, Changxiang",1
"Jiang, Shuyu","Zheng, Tao",1
"K S, Sathiyajith","Yang, Tianchang",1
"K., Aydln, Kerem","O., Çetin, Orçun",1
"K., Aydln, Kerem","R., Ylldlrlm, Recep",1
"K., Stroggylos, Konstantinos","P., Katsaros, Panagiotis",1
"K., Stroggylos, Konstantinos","P., Papadopoulos, Panagiotis",1
"K., Stroggylos, Konstantinos","S., Ioannidis, Sotiris",1
"K., Stroggylos, Konstantinos","Z., Tzermias, Zacharias",1
"K., Zimmermann, Keven","V., Gadey, Varun",1
"Kern, Christoph","Wang, Pei",1
"Khan, Md Shohel","Siam, Rubaiyat Sha Fardin",1
"Khatiwada, Pankaj","Prinz, Andreas",1
"Kim, J.J.","Lingga, P.",1
"Kim, J.J.","Park, J.",1
"Klym, H.","Konuhova, M.",1
"Klym, H.","Popov, A.I.",1
"Konuhova, M.","Popov, A.I.",1
"Kotstein, Sebastian","Pfaff, Timo",1
"Kukta, Donatas","Venčkauskas, Algimantas",1
